Time(ms),Price($)
1.613019600000000000e+12,2.678996852176825996e+04
1.613192400000000000e+12,2.681580107445293834e+04
1.613365200000000000e+12,2.683213944066161275e+04
1.613538000000000000e+12,2.685909709691494936e+04
1.613710800000000000e+12,2.686717193046230386e+04
1.613883600000000000e+12,2.689518787353166408e+04
1.614056400000000000e+12,2.689708132197454688e+04
1.614229200000000000e+12,2.687998405773875857e+04
1.614402000000000000e+12,2.689688195315594567e+04
1.614574800000000000e+12,2.689990067456377801e+04
1.614747600000000000e+12,2.688783020630526516e+04
1.614920400000000000e+12,2.696033768365827927e+04
1.615093200000000000e+12,2.699374348874005955e+04
1.615266000000000000e+12,2.701951421004320218e+04
1.615438800000000000e+12,2.707068543760586545e+04
1.615611600000000000e+12,2.714219103862341217e+04
1.615780800000000000e+12,2.716683014127204297e+04
1.615953600000000000e+12,2.719360815845938851e+04
1.616126400000000000e+12,2.722221616779820033e+04
1.616299200000000000e+12,2.724719579340105702e+04
1.616472000000000000e+12,2.725239216439021766e+04
1.616644800000000000e+12,2.730219246136929723e+04
1.616817600000000000e+12,2.734991535590731655e+04
1.616990400000000000e+12,2.742055527281882678e+04
1.617163200000000000e+12,2.748522316680396034e+04
1.617336000000000000e+12,2.756289342115840554e+04
1.617508800000000000e+12,2.765232455288557321e+04
1.617681600000000000e+12,2.774216302159892075e+04
1.617854400000000000e+12,2.786189082954714831e+04
1.618027200000000000e+12,2.792969889574763147e+04
1.618200000000000000e+12,2.800126580508628831e+04
1.618372800000000000e+12,2.812156350778209890e+04
1.618545600000000000e+12,2.821445211744949847e+04
1.618718400000000000e+12,2.835784855146786504e+04
1.618891200000000000e+12,2.847871061247536272e+04
1.619064000000000000e+12,2.868667421981258303e+04
1.619236800000000000e+12,2.884121223600413941e+04
1.619409600000000000e+12,2.900995280656555406e+04
1.619582400000000000e+12,2.915385899623659498e+04
1.619755200000000000e+12,2.929736404199020035e+04
1.619928000000000000e+12,2.945150219016592018e+04
1.620100800000000000e+12,2.956481231289250718e+04
1.620273600000000000e+12,2.970768208572139702e+04
1.620446400000000000e+12,2.983913249873555833e+04
1.620619200000000000e+12,2.999174821884702033e+04
1.620792000000000000e+12,3.011979433965280623e+04
1.620964800000000000e+12,3.028764291291282643e+04
1.621137600000000000e+12,3.043414609008425759e+04
1.621310400000000000e+12,3.052616210511042664e+04
1.621483200000000000e+12,3.066640887263937475e+04
1.621656000000000000e+12,3.083780668132355277e+04
1.621828800000000000e+12,3.097007405911087699e+04
1.622001600000000000e+12,3.111813143370920443e+04
1.622174400000000000e+12,3.123912334953610844e+04
1.622347200000000000e+12,3.139746398599578606e+04
1.622520000000000000e+12,3.147865183361519303e+04
1.622692800000000000e+12,3.155795227252630139e+04
1.622865600000000000e+12,3.166654107886245401e+04
1.623038400000000000e+12,3.179328820518533030e+04
1.623211200000000000e+12,3.189311869197495980e+04
1.623384000000000000e+12,3.195685879002375441e+04
1.623556800000000000e+12,3.205100734132898287e+04
1.623729600000000000e+12,3.212367738132910017e+04
1.623902400000000000e+12,3.224344280725664430e+04
1.624075200000000000e+12,3.236283419511058310e+04
1.624248000000000000e+12,3.248015250746604215e+04
1.624420800000000000e+12,3.254386640724668177e+04
1.624593600000000000e+12,3.253567637462554558e+04
1.624766400000000000e+12,3.259173823282893136e+04
1.624939200000000000e+12,3.262573606012269374e+04
1.625112000000000000e+12,3.268021229557860352e+04
1.625284800000000000e+12,3.273204661449227933e+04
1.625457600000000000e+12,3.282962699197811162e+04
1.625630400000000000e+12,3.285099566563231201e+04
1.625803200000000000e+12,3.285921464163671044e+04
1.625976000000000000e+12,3.286652695519912231e+04
1.626148800000000000e+12,3.293138737717946060e+04
1.626321600000000000e+12,3.295831230327737285e+04
1.626494400000000000e+12,3.297087768903851247e+04
1.626667200000000000e+12,3.296052499824513507e+04
1.626840000000000000e+12,3.300619169272005820e+04
1.627012800000000000e+12,3.300287625949550420e+04
1.627185600000000000e+12,3.306241987573516963e+04
1.627358400000000000e+12,3.309369199603450397e+04
1.627531200000000000e+12,3.309796297758701985e+04
1.627704000000000000e+12,3.309084767790882324e+04
1.627876800000000000e+12,3.310496791328540712e+04
1.628049600000000000e+12,3.311800322620745283e+04
1.628222400000000000e+12,3.311778000821740716e+04
1.628395200000000000e+12,3.312979034945453168e+04
1.628568000000000000e+12,3.320809150627714553e+04
1.628740800000000000e+12,3.326716825357415655e+04
