Time(ms),Price($)
1.613019600000000000e+12,1.917125267472855194e+04
1.613192400000000000e+12,1.919978690990346149e+04
1.613365200000000000e+12,1.922825189193080223e+04
1.613538000000000000e+12,1.923939446392338505e+04
1.613710800000000000e+12,1.924451484024067395e+04
1.613883600000000000e+12,1.925342446145084250e+04
1.614056400000000000e+12,1.926544177135480277e+04
1.614229200000000000e+12,1.924417517351813513e+04
1.614402000000000000e+12,1.924532387966926399e+04
1.614574800000000000e+12,1.926617366459385812e+04
1.614747600000000000e+12,1.928442664412854720e+04
1.614920400000000000e+12,1.930196245177403398e+04
1.615093200000000000e+12,1.933320111386629651e+04
1.615266000000000000e+12,1.934623962137346825e+04
1.615438800000000000e+12,1.935719690279545830e+04
1.615611600000000000e+12,1.938927301206772609e+04
1.615780800000000000e+12,1.942452715390584126e+04
1.615953600000000000e+12,1.945156939688315106e+04
1.616126400000000000e+12,1.947970998488884652e+04
1.616299200000000000e+12,1.952107012407528600e+04
1.616472000000000000e+12,1.954799884507950992e+04
1.616644800000000000e+12,1.956874369697992734e+04
1.616817600000000000e+12,1.962717891928749304e+04
1.616990400000000000e+12,1.970085891891182837e+04
1.617163200000000000e+12,1.977555854685096347e+04
1.617336000000000000e+12,1.984432896116381016e+04
1.617508800000000000e+12,1.994777121600314422e+04
1.617681600000000000e+12,2.004019612129402594e+04
1.617854400000000000e+12,2.007892963775257522e+04
1.618027200000000000e+12,2.015121663305386028e+04
1.618200000000000000e+12,2.022835055199066119e+04
1.618372800000000000e+12,2.030784099550683095e+04
1.618545600000000000e+12,2.039511520184739129e+04
1.618718400000000000e+12,2.053768789940773422e+04
1.618891200000000000e+12,2.065173212949545268e+04
1.619064000000000000e+12,2.077975452394007152e+04
1.619236800000000000e+12,2.092369514472040100e+04
1.619409600000000000e+12,2.105403797822177876e+04
1.619582400000000000e+12,2.115549910946586169e+04
1.619755200000000000e+12,2.124555730992559984e+04
1.619928000000000000e+12,2.137843983004956317e+04
1.620100800000000000e+12,2.147888364140562771e+04
1.620273600000000000e+12,2.157326217593331603e+04
1.620446400000000000e+12,2.170257034306722926e+04
1.620619200000000000e+12,2.182841271212322681e+04
1.620792000000000000e+12,2.193292033615825858e+04
1.620964800000000000e+12,2.201461921221890589e+04
1.621137600000000000e+12,2.215742702152560014e+04
1.621310400000000000e+12,2.226247109919192008e+04
1.621483200000000000e+12,2.234396666053456283e+04
1.621656000000000000e+12,2.245211214219013345e+04
1.621828800000000000e+12,2.256819029413440148e+04
1.622001600000000000e+12,2.263347567592299674e+04
1.622174400000000000e+12,2.273111114602380258e+04
1.622347200000000000e+12,2.284656774334741203e+04
1.622520000000000000e+12,2.295987456683811979e+04
1.622692800000000000e+12,2.303068734648179088e+04
1.622865600000000000e+12,2.315305735880602879e+04
1.623038400000000000e+12,2.329035712973627233e+04
1.623211200000000000e+12,2.337852477014964097e+04
1.623384000000000000e+12,2.343003892894573801e+04
1.623556800000000000e+12,2.355778401299779944e+04
1.623729600000000000e+12,2.364186978285273290e+04
1.623902400000000000e+12,2.369845292931650329e+04
1.624075200000000000e+12,2.378481840472023032e+04
1.624248000000000000e+12,2.388638784950129411e+04
1.624420800000000000e+12,2.393477840566443774e+04
1.624593600000000000e+12,2.396636522775957928e+04
1.624766400000000000e+12,2.404343338025284538e+04
1.624939200000000000e+12,2.411160273218558723e+04
1.625112000000000000e+12,2.412595426304775174e+04
1.625284800000000000e+12,2.418813999300437354e+04
1.625457600000000000e+12,2.425356746726035999e+04
1.625630400000000000e+12,2.429554565305290453e+04
1.625803200000000000e+12,2.433817897267596709e+04
1.625976000000000000e+12,2.438679068068911511e+04
1.626148800000000000e+12,2.443917446174861470e+04
1.626321600000000000e+12,2.443403982404672934e+04
1.626494400000000000e+12,2.448434458975319285e+04
1.626667200000000000e+12,2.454423819040874514e+04
1.626840000000000000e+12,2.457561260658874744e+04
1.627012800000000000e+12,2.458504685102901931e+04
1.627185600000000000e+12,2.462015230785713720e+04
1.627358400000000000e+12,2.466089005380288654e+04
1.627531200000000000e+12,2.463927567888479462e+04
1.627704000000000000e+12,2.466014261654957591e+04
1.627876800000000000e+12,2.469068263977082825e+04
1.628049600000000000e+12,2.470322355174646509e+04
1.628222400000000000e+12,2.465952178809036195e+04
1.628395200000000000e+12,2.467760453655727179e+04
1.628568000000000000e+12,2.471075483753491426e+04
1.628740800000000000e+12,2.467418553957881522e+04
