Time(ms),Price($)
1.613019600000000000e+12,5.111069041450777149e+04
1.613192400000000000e+12,5.108380257069408981e+04
1.613365200000000000e+12,5.110819976875642169e+04
1.613538000000000000e+12,5.118779346707819059e+04
1.613710800000000000e+12,5.116147779479325982e+04
1.613883600000000000e+12,5.117064469696969900e+04
1.614056400000000000e+12,5.132908401639344083e+04
1.614229200000000000e+12,5.135003265881147672e+04
1.614402000000000000e+12,5.137691649616368522e+04
1.614574800000000000e+12,5.149704209183673811e+04
1.614747600000000000e+12,5.143083611396303604e+04
1.614920400000000000e+12,5.149723654139156861e+04
1.615093200000000000e+12,5.150913832997987629e+04
1.615266000000000000e+12,5.144178344188376650e+04
1.615438800000000000e+12,5.140713544776119670e+04
1.615611600000000000e+12,5.138363058589871071e+04
1.615780800000000000e+12,5.137302988194786303e+04
1.615953600000000000e+12,5.131178278487229545e+04
1.616126400000000000e+12,5.124474242424242402e+04
1.616299200000000000e+12,5.136062487828626763e+04
1.616472000000000000e+12,5.142982177734375000e+04
1.616644800000000000e+12,5.140721440556088055e+04
1.616817600000000000e+12,5.149836999057048524e+04
1.616990400000000000e+12,5.179905220037453546e+04
1.617163200000000000e+12,5.189905202448210912e+04
1.617336000000000000e+12,5.206425904180366342e+04
1.617508800000000000e+12,5.223379104651162925e+04
1.617681600000000000e+12,5.234448339569691598e+04
1.617854400000000000e+12,5.233221814988290134e+04
1.618027200000000000e+12,5.240313935574229981e+04
1.618200000000000000e+12,5.249533317602642637e+04
1.618372800000000000e+12,5.274112488117870816e+04
1.618545600000000000e+12,5.290037066541706008e+04
1.618718400000000000e+12,5.302990626466447429e+04
1.618891200000000000e+12,5.317014141773352458e+04
1.619064000000000000e+12,5.319439058005752304e+04
1.619236800000000000e+12,5.331931050724638044e+04
1.619409600000000000e+12,5.352541226138032653e+04
1.619582400000000000e+12,5.363255938271604828e+04
1.619755200000000000e+12,5.376487849779086537e+04
1.619928000000000000e+12,5.399179005934717861e+04
1.620100800000000000e+12,5.416768300567048573e+04
1.620273600000000000e+12,5.417903380164781265e+04
1.620446400000000000e+12,5.442411877411963360e+04
1.620619200000000000e+12,5.461792214569297357e+04
1.620792000000000000e+12,5.471459276260250772e+04
1.620964800000000000e+12,5.482600607057416346e+04
1.621137600000000000e+12,5.498801978868195147e+04
1.621310400000000000e+12,5.509047460469573707e+04
1.621483200000000000e+12,5.522723188751191628e+04
1.621656000000000000e+12,5.538269289906103222e+04
1.621828800000000000e+12,5.552925040964419168e+04
1.622001600000000000e+12,5.560567803030303185e+04
1.622174400000000000e+12,5.575021936331775942e+04
1.622347200000000000e+12,5.600408970656192105e+04
1.622520000000000000e+12,5.621110988753514539e+04
1.622692800000000000e+12,5.634803222519795236e+04
1.622865600000000000e+12,5.650572892938496807e+04
1.623038400000000000e+12,5.664512778409090970e+04
1.623211200000000000e+12,5.669052719137218810e+04
1.623384000000000000e+12,5.672545831440254551e+04
1.623556800000000000e+12,5.678523037658802059e+04
1.623729600000000000e+12,5.685591890354867792e+04
1.623902400000000000e+12,5.691053131972334086e+04
1.624075200000000000e+12,5.711044363716424414e+04
1.624248000000000000e+12,5.713129357049608370e+04
1.624420800000000000e+12,5.730422938481675374e+04
1.624593600000000000e+12,5.733464601293103624e+04
1.624766400000000000e+12,5.746937139474817377e+04
1.624939200000000000e+12,5.735655654369785043e+04
1.625112000000000000e+12,5.749623664785063011e+04
1.625284800000000000e+12,5.768230444752559561e+04
1.625457600000000000e+12,5.771990466553046281e+04
1.625630400000000000e+12,5.775870372750642855e+04
1.625803200000000000e+12,5.768887383078231505e+04
1.625976000000000000e+12,5.751342485182049131e+04
1.626148800000000000e+12,5.741362441314553871e+04
1.626321600000000000e+12,5.734421171742808656e+04
1.626494400000000000e+12,5.754289334813875030e+04
1.626667200000000000e+12,5.756640385425442219e+04
1.626840000000000000e+12,5.753183537357534806e+04
1.627012800000000000e+12,5.747006234465617308e+04
1.627185600000000000e+12,5.754145587027914735e+04
1.627358400000000000e+12,5.755886676336510573e+04
1.627531200000000000e+12,5.760410537790697708e+04
1.627704000000000000e+12,5.756165383039737935e+04
1.627876800000000000e+12,5.766711198770492047e+04
1.628049600000000000e+12,5.767261499183006526e+04
1.628222400000000000e+12,5.759404326923076587e+04
1.628395200000000000e+12,5.753681923698022001e+04
1.628568000000000000e+12,5.757053982391482714e+04
1.628740800000000000e+12,5.761481255093724758e+04
